"HUNT 
YEAR",SPECIES,CI,"PROV 
FLAG",WMU,REGION,"RESIDENT 
HUNTERS","RESIDENT 
DAYS","RESIDENT 
KILLS","RESIDENT 
MALE RATIO","RESIDENT 
FEMALE RATIO","RESIDENT 
JUVENILE RATIO","RESIDENT 
UNKNOWN RATIO","NON-RESIDENT 
HUNTERS","NON-RESIDENT 
DAYS","NON-RESIDENT 
KILLS","NON-RESIDENT 
MALE RATIO","NON-RESIDENT 
FEMALE RATIO","NON-RESIDENT 
JUVENILE RATIO","NON-RESIDENT 
UNKNOWN RATIO"
1976,MOOS,no,0,312,3,302,1360,26,0.88,0.13,0,0,,,,,,,
1976,MOOS,no,0,320,3,141,408,30,1,0,0,0,,,,,,,
1976,MOOS,no,0,326,3,102,477,13,0.75,0.25,0,0,,,,,,,
1976,MOOS,no,0,327,3,116,573,10,1,0,0,0,,,,,,,
1976,MOOS,no,0,334,3,3,6,0,0,0,0,0,,,,,,,
1976,MOOS,no,0,335,3,19,33,3,1,0,0,0,,,,,,,
1976,MOOS,no,0,336,3,79,358,9,0.67,0.33,0,0,,,,,,,
1976,MOOS,no,0,337,3,159,603,20,1,0,0,0,,,,,,,
1976,MOOS,no,0,342,3,84,315,0,0,0,0,0,,,,,,,
1976,MOOS,no,0,414,4,6,12,0,0,0,0,0,,,,,,,
1976,MOOS,no,0,432,4,3,9,0,0,0,0,0,,,,,,,
1976,MOOS,no,0,439,4,32,136,3,1,0,0,0,,,,,,,
1976,MOOS,no,0,801,8,3,12,0,0,0,0,0,,,,,,,
1976,MOOS,no,0,802,8,3,12,0,0,0,0,0,,,,,,,
1976,MOOS,no,0,804,8,19,118,3,0,1,0,0,,,,,,,
1976,MOOS,no,0,806,8,69,392,3,1,0,0,0,,,,,,,
1976,MOOS,no,0,807,8,18,140,4,1,0,0,0,,,,,,,
1976,MOOS,no,0,808,8,110,564,3,1,0,0,0,,,,,,,
1976,MOOS,no,0,809,8,9,12,0,0,0,0,0,,,,,,,
1976,MOOS,no,0,810,8,69,297,0,0,0,0,0,,,,,,,
1976,MOOS,no,0,811,8,102,488,3,1,0,0,0,,,,,,,
1976,MOOS,no,0,812,8,16,35,3,1,0,0,0,,,,,,,
