WILDLIFE_MGMT_UNIT_ID,year,density,population,population_90ci,calves_100cows,bulls_100cows,source
3-12,1985,0.26,622,58,44,37,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5706&surveyId=37081&pagerOffset=0
8-11,1999,0.12,389,184,54,50,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32268&pagerOffset=0
8-10,1999,0.27,464,178,22,59,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32268&pagerOffset=0
8-8,1999,,,,48,43,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32269&pagerOffset=0
8-11,2003,,,,30,57,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32269&pagerOffset=0
8-8,2003,,,,34,25,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32269&pagerOffset=0
8-10,2003,,,,25,15,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32269&pagerOffset=0
8-12,2003,,,,28,39,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32269&pagerOffset=0
8-8,2004,,,,49,28,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31987&pagerOffset=0
8-10,2004,,,,36,15,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31987&pagerOffset=0
8-12,2004,,,,42,39,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31987&pagerOffset=0
8-8,2005,,,,27,31,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31988&pagerOffset=0
8-10,2006,,,,48,16,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31988&pagerOffset=0
8-11,2006,,,,40,32,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31988&pagerOffset=0
8-21,2006,,,,0,59,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31988&pagerOffset=0
8-23,2006,,,,38,28,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31988&pagerOffset=0
